token,type,score,cummulative percentage
fiú,NOUN,573,1.3
úr,NOUN,448,2.31
áll,VERB,432,3.29
tud,VERB,408,4.21
szól,VERB,349,5.0
néz,VERB,338,5.76
kiált,VERB,331,6.51
jön,VERB,323,7.24
megy,VERB,299,7.92
lát,VERB,295,8.58
akar,VERB,277,9.21
elnök,NOUN,274,9.83
kis,ADJ,272,10.44
zászló,NOUN,260,11.03
felel,VERB,252,11.6
vörösinges,NOUN,243,12.15
mond,VERB,235,12.68
szó,NOUN,217,13.17
hang,NOUN,216,13.66
kéz,NOUN,216,14.15
fej,NOUN,208,14.62
kezd,VERB,207,15.09
ember,NOUN,184,15.5
erőd,NOUN,181,15.91
csönd,NOUN,180,16.32
senki,PRON,180,16.73
grund,NOUN,169,17.11
kérdez,VERB,162,17.48
vesz,VERB,158,17.83
ad,VERB,149,18.17
szem,NOUN,145,18.5
ajtó,NOUN,145,18.83
dolog,NOUN,140,19.14
ők,PRON,138,19.45
marad,VERB,134,19.76
hall,VERB,134,20.06
tag,NOUN,126,20.35
szőke,NOUN,124,20.63
tábornok,NOUN,124,20.91
vezér,NOUN,122,21.18
tesz,VERB,121,21.46
megáll,VERB,119,21.72
érez,VERB,118,21.99
szabó,NOUN,114,22.25
csinál,VERB,113,22.5
egylet,NOUN,112,22.76
kalap,NOUN,110,23.01
közlegény,NOUN,110,23.26
vár,VERB,109,23.5
beszél,VERB,109,23.75
kér,VERB,109,23.99
tanár,NOUN,108,24.24
hallatszik,VERB,107,24.48
utcai,ADJ,104,24.72
kapu,NOUN,101,24.94
föld,NOUN,99,25.17
maga,PRON,99,25.39
sereg,NOUN,98,25.61
gitt,NOUN,94,25.83
trombita,NOUN,94,26.04
jár,VERB,93,26.25
pillanat,NOUN,92,26.46
arc,NOUN,92,26.67
többi,NOUN,91,26.87
hisz,VERB,91,27.08
baj,NOUN,91,27.28
se,ADV,90,27.49
ellenség,NOUN,88,27.69
lámpa,NOUN,88,27.88
asszony,NOUN,88,28.08
vég,NOUN,86,28.28
vág,VERB,86,28.47
meglát,VERB,84,28.66
név,NOUN,84,28.85
fordul,VERB,83,29.04
gondol,VERB,83,29.23
hangzik,VERB,82,29.41
kap,VERB,81,29.6
őr,NOUN,81,29.78
jelent,VERB,80,29.96
nap,NOUN,79,30.14
fél,VERB,79,30.32
szív,NOUN,79,30.5
valami,PRON,78,30.67
golyó,NOUN,78,30.85
parancs,NOUN,78,31.02
ablak,NOUN,77,31.2
szalad,VERB,77,31.37
zászlóalj,NOUN,76,31.54
farakás,NOUN,75,31.71
elmegy,VERB,75,31.88
kunyhó,NOUN,74,32.05
tót,NOUN,73,32.22
homok,NOUN,73,32.38
apa,NOUN,73,32.55
kapitány,NOUN,72,32.71
hallgat,VERB,72,32.87
látszik,VERB,71,33.03
közgyűlés,NOUN,70,33.19
figyel,VERB,70,33.35
gittegylet,NOUN,70,33.51
semmi,PRON,69,33.66
kettő,NUM,69,33.82
rész,NOUN,69,33.98
krajcár,NOUN,68,34.13
hadsereg,NOUN,68,34.28
szél,NOUN,67,34.43
sor,NOUN,67,34.59
int,VERB,67,34.74
folytat,VERB,67,34.89
csónak,NOUN,66,35.04
víz,NOUN,65,35.19
csapat,NOUN,65,35.33
ért,VERB,64,35.48
ruha,NOUN,64,35.62
hely,NOUN,63,35.76
neki,PRON,63,35.91
kabát,NOUN,63,36.05
jut,VERB,63,36.19
sziget,NOUN,63,36.33
csöndes,ADJ,62,36.47
