token,type,score,cummulative percentage,english
fiú,NOUN,573,1.3,1 - boy##2 - son##3 - (colloquial) boyfriend
úr,NOUN,448,2.31,"1 - master (someone who has control over something or someone)##2 - (Judaism, Christianity, capitalized) Lord##3 - gentleman##4 - (on its own, with a first-person possessive suffix) sir, gentleman (term of address)##5 - (after surnames and certain occupational titles) Mr, Mr. (or omitted in English)##6 - (with a possessive suffix, dated, folksy) husband"
áll,VERB,432,3.29,"1 - (intransitive) to stand (to be in an upright position)##2 - (intransitive, of plants) to stand; to exist##3 - (intransitive, of mobile objects, slightly literary) to stand##4 - (intransitive, said of clothes, hairstyle or other fashion items) to suit, become (to be suitable or apt for one's image, with -nak/-nek)##5 - (intransitive) to stop, halt, be down, be at a standstill (to cease moving or working)##6 - (intransitive) to say, read (to indicate in a written form, to consist of a certain text)##7 - (intransitive) to go, walk, step, get (to place oneself somewhere and stay there)##8 - (intransitive, in phrases) to take up (a job), be enlisted, get employed (as someone: -nak/-nek)##9 - (intransitive) to consist of, be composed of, comprise something (of something: -ból/-ből, always standing before the verb)##10 - (intransitive) to be expected, to be on course for something (victory, defeat, failure etc., in phrases with -ra/-re)##11 - (intransitive, slightly literary) to depend on someone or something (followed by -n/-on/-en/-ön)##12 - (transitive, often with potential -hat) to stand, withstand, endure, can take##13 - (transitive, in certain set phrases) to stand"
tud,VERB,408,4.21,"1 - (transitive) to know (to be aware of some information)##2 - (auxiliary with a verb in the infinitive) can, to be able, know how to##3 - (transitive, colloquial) to know (to be acquainted or familiar with)"
szól,VERB,349,5.0,"1 - (intransitive) to speak, say, talk to someone (-hoz/-hez/-höz)##2 - (transitive) to speak (to say a word, sentence)##3 - (intransitive) to be about, handle (-ról/-ről)##4 - (intransitive) to let know, inform, notify, apprise, call (-nak/-nek)##5 - (intransitive) to say, react (to tell an opinion) (-hoz/-hez/-höz)##6 - (intransitive) to be valid (for the specified number of people, the specified event, duration etc.; used with -ra/-re)##7 - (intransitive) to be in favor of or against someone or something (used with mellette or ellene, or with phrases formed with the related postpositions)##8 - (intransitive, of some text) to read, run (e.g. as follows)##9 - (intransitive, of a musical instrument, telephone, radio, etc.) to sound, ring##10 - (intransitive, of a bird) to call"
néz,VERB,338,5.76,1 - (ambitransitive) to look (at something -t/-ot/-at/-et/-öt or -ra/-re)##2 - (transitive) to watch (something -t/-ot/-at/-et/-öt)##3 - (intransitive) to overlook (followed by -ra/-re) (to offer a view of something from a higher position)
kiált,VERB,331,6.51,1 - (transitive) to shout (to give a single shout)
jön,VERB,323,7.24,"1 - (intransitive) to come##2 - (intransitive) to get into a state (e.g. motion, excitement)##3 - (intransitive) to be one’s turn, to be in turn, to be next (to succeed in a sequence)##4 - (intransitive, colloquial) to owe (someone: -nak/-nek)"
megy,VERB,299,7.92,"1 - (intransitive) to go, travel (whether on foot or by any vehicle)##2 - (intransitive) to work, operate, function##3 - (intransitive, chiefly with így (“in this way”)) to happen, turn out##4 - (intransitive, informal) to succeed (to turn out successfully)##5 - (intransitive) to fit onto or into something (with -ra/-re or -ba/-be)##6 - (intransitive, of thorn, splinter, dirt, insects, etc.) to get into (with -ba/-be)##7 - (intransitive, of programmes, shows, performances) to be on##8 - (intransitive) to go with, match (with -hoz/-hez/-höz)##9 - (intransitive, with professions) to become (with -nak/-nek)##10 - (intransitive, of time) to go by, pass by"
lát,VERB,295,8.58,"1 - (transitive) to see (to perceive with the eyes)##2 - (intransitive) to set about, embark on, set upon (to start doing or to devote oneself to some task; something: -hoz/-hez/-höz)"
akar,VERB,277,9.21,1 - (auxiliary with an infinitive or transitive) to want
elnök,NOUN,274,9.83,"1 - chairman, president"
kis,ADJ,272,10.44,"1 - small, little"
zászló,NOUN,260,11.03,1 - flag
felel,VERB,252,11.6,"1 - (ambitransitive) to answer, to reply##2 - (intransitive) to be responsible (for something -ért)##3 - (intransitive) to be held responsible, to answer (for something -ért)##4 - (ambitransitive, education) to take an oral test in class (to be called upon at random, at a regular class in primary or secondary school, to recite a previous lesson and get assessment with a grade)"
vörösinges,NOUN,243,12.15,
mond,VERB,235,12.68,"1 - (transitive) to say, tell (someone: -nak/-nek)##2 - (transitive, with meteorological phenomena) to forecast"
szó,NOUN,217,13.17,"1 - (linguistics) word (smallest unit of language which has a particular meaning)##2 - word (promise; oath or guarantee)##3 - voice (an expressed opinion, choice, will, desire, or wish; the right or ability to make such expression or to have it considered)##4 - (chiefly as a second element in compounds) sound####1 - sol (a syllable used in solfège to represent the fifth note of a major scale)"
hang,NOUN,216,13.66,1 - voice##2 - sound
kéz,NOUN,216,14.15,1 - hand
fej,NOUN,208,14.62,"1 - head (part of the body)##2 - head, mind, brain, intellect##3 - head (principal operative part of a machine or tool)##4 - heads, obverse (side of a coin that bears the picture of the head of state)##5 - (formal) head (leader, chief)##6 - head, capitulum (clump of seeds, leaves or flowers)##7 - (rare) foliage, crown (top of a tree)"
kezd,VERB,207,15.09,"1 - (transitive) to begin, start (to initiate or take the first step into something)##2 - (intransitive) to do something with something (meaningfully, with purpose), use something (-val/-vel) (usually used with mit or mihez)"
ember,NOUN,184,15.5,"1 - person##2 - (biology) human (a human being, whether man, woman or child)##3 - construed with az: mankind, humanity, man (all humans collectively)##4 - (archaic) man (adult male human; today mostly in compounds like fiatalember, öregember, vénember)"
erőd,NOUN,181,15.91,1 - fort (any permanent army post)####1 - second-person singular single-possession possessive of erő
csönd,NOUN,180,16.32,1 - alternative form of csend (“silence”)
senki,PRON,180,16.73,
grund,NOUN,169,17.11,
kérdez,VERB,162,17.48,1 - (transitive) to ask (a question)
